animal_id,model_name,nll,sigma,features,weights
W051,psytrack,191687.8733574199,0.0,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.02990753,  0.03895627, -0.0688638 ]), array([-0.35091283,  0.34422124,  0.00669159]), array([ 0.57073557, -0.60808266,  0.03734709]), array([-0.07556204,  0.08230406, -0.00674202]), array([-0.21517732,  0.220566  , -0.00538869]), array([-0.14888133,  0.15372183, -0.00484049])]"
W051,prev_violation,178684.2352335782,0.0,"['bias', 'prev_violation', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.24499643,  0.25523448, -0.50023091]), array([-0.60182593, -0.613647  ,  1.21547292]), array([-0.35124462,  0.3459101 ,  0.00533452]), array([ 0.57003934, -0.61388054,  0.0438412 ]), array([-0.05960201,  0.07889778, -0.01929576]), array([-0.17865369,  0.19528971, -0.01663603]), array([-0.1338332,  0.1372058, -0.0033726])]"
W051,prev_violation_filter,168580.81994946272,0.0,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.48199131,  0.49290382, -0.97489513]), array([-1.38055697, -1.39488878,  2.77544575]), array([-0.35126914,  0.34744622,  0.00382292]), array([ 0.56993768, -0.61889119,  0.04895352]), array([-0.06065074,  0.07691628, -0.01626554]), array([-0.18052461,  0.19627937, -0.01575476]), array([-0.13149573,  0.13668651, -0.00519078])]"
W051,prev_reward,168260.75961631548,0.0,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded']","[array([ 0.42354526,  0.38794028, -0.81148555]), array([-1.31140507, -1.27014026,  2.58154533]), array([-0.3512996 ,  0.34787624,  0.00342337]), array([ 0.56997121, -0.61976255,  0.04979134]), array([-0.0643091 ,  0.06937198, -0.00506287]), array([-0.17925581,  0.19395127, -0.01469546]), array([-0.12573363,  0.13080084, -0.00506722]), array([ 0.08904884,  0.15216799, -0.24121683])]"
W051,prev_reward_filter,168200.72183653398,0.0,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_1']","[array([ 0.3861467 ,  0.32215905, -0.70830575]), array([-1.26910328, -1.19420455,  2.46330782]), array([-0.35146917,  0.34798376,  0.0034854 ]), array([ 0.57020065, -0.62004742,  0.04984676]), array([-0.0646194,  0.0689109, -0.0042915]), array([-0.17938435,  0.19432451, -0.01494015]), array([-0.12580644,  0.13004158, -0.00423514]), array([ 0.14369355,  0.24571824, -0.38941179])]"
W051,prev_reward_inc_delay,168536.23422992148,0.0,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_delayed_rewarded']","[array([ 0.48225693,  0.49725425, -0.97951119]), array([-1.3818836, -1.3968451,  2.7787287]), array([-0.35135452,  0.34780014,  0.00355438]), array([ 0.57004473, -0.61931779,  0.04927306]), array([-0.06065889,  0.07659043, -0.01593155]), array([-0.18068071,  0.19695359, -0.01627287]), array([-0.13121418,  0.13562506, -0.00441088]), array([ 0.01123322, -0.14227027,  0.13103706])]"
W051,psytrack,191971.65950683717,0.01,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.03807465,  0.04737407, -0.08544872]), array([-0.28016075,  0.27192054,  0.00824021]), array([ 0.48522279, -0.51913105,  0.03390826]), array([-0.06581103,  0.07209595, -0.00628493]), array([-0.19950358,  0.20438269, -0.00487911]), array([-0.1337005 ,  0.13805177, -0.00435127])]"
W051,prev_violation,179512.5630123667,0.01,"['bias', 'prev_violation', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.19966055,  0.20954977, -0.40921031]), array([-0.47023556, -0.47529406,  0.94552967]), array([-0.28033967,  0.27262947,  0.00771032]), array([ 0.48499564, -0.52159424,  0.03659862]), array([-0.05552346,  0.06952946, -0.01400606]), array([-0.17409803,  0.18595151, -0.01185356]), array([-0.1226617 ,  0.12591402, -0.00325238])]"
W051,prev_violation_filter,173259.23541442901,0.01,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.2707289 ,  0.28049796, -0.55122686]), array([-0.73527741, -0.73872562,  1.47400334]), array([-0.28011053,  0.27309939,  0.00701105]), array([ 0.48557383, -0.52151641,  0.03594254]), array([-0.05871532,  0.06862039, -0.00990503]), array([-0.18108909,  0.19009774, -0.00900873]), array([-0.12394764,  0.12814486, -0.00419742])]"
W051,prev_reward,172208.8481821167,0.01,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded']","[array([ 0.16659264,  0.14468021, -0.31127285]), array([-0.65044207, -0.63286422,  1.28330632]), array([-0.28036561,  0.27362831,  0.0067373 ]), array([ 0.48565393, -0.52343754,  0.03778365]), array([-0.06652617,  0.05707047,  0.00945567]), array([-0.17660553,  0.18536703, -0.00876148]), array([-0.11129321,  0.11572028, -0.00442709]), array([ 0.19420118,  0.24244306, -0.43664427])]"
